
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    192.168.1.20:55851     192.168.1.38:80        SYN_SENT
  TCP    192.168.1.20:55852     192.168.1.39:80        SYN_SENT
  TCP    192.168.1.20:55853     192.168.1.40:80        SYN_SENT
  TCP    192.168.1.20:55854     192.168.1.41:80        SYN_SENT
  TCP    192.168.1.20:55855     192.168.1.42:80        SYN_SENT
  TCP    192.168.1.20:55856     192.168.1.43:80        SYN_SENT
  TCP    192.168.1.20:55857     192.168.1.44:80        SYN_SENT
  TCP    192.168.1.20:55858     192.168.1.45:80        SYN_SENT
  TCP    192.168.1.20:55859     192.168.1.46:80        SYN_SENT
  TCP    192.168.1.20:55860     192.168.1.47:80        SYN_SENT
  TCP    192.168.1.20:55861     192.168.1.48:80        SYN_SENT
  TCP    192.168.1.20:55862     192.168.1.49:80        SYN_SENT
  TCP    192.168.1.20:55863     192.168.1.50:80        SYN_SENT
  TCP    192.168.1.20:55864     192.168.1.51:80        SYN_SENT
  TCP    192.168.1.20:55865     192.168.1.52:80        SYN_SENT
  TCP    192.168.1.20:55866     192.168.1.53:80        SYN_SENT
  TCP    192.168.1.20:55867     192.168.1.54:80        SYN_SENT
  TCP    192.168.1.20:55868     192.168.1.55:80        SYN_SENT
  TCP    192.168.1.20:55869     192.168.1.56:80        SYN_SENT
  TCP    192.168.1.20:55870     192.168.1.57:80        SYN_SENT
  TCP    192.168.1.20:55871     192.168.1.58:80        SYN_SENT
  TCP    192.168.1.20:55872     192.168.1.59:80        SYN_SENT
  TCP    192.168.1.20:55873     192.168.1.60:80        SYN_SENT
  TCP    192.168.1.20:55874     192.168.1.61:80        SYN_SENT
  TCP    192.168.1.20:55875     192.168.1.62:80        SYN_SENT
  TCP    192.168.1.20:55876     192.168.1.63:80        SYN_SENT
  TCP    192.168.1.20:55877     192.168.1.64:80        SYN_SENT
  TCP    192.168.1.20:55878     192.168.1.65:80        SYN_SENT
  TCP    192.168.1.20:55879     192.168.1.66:80        SYN_SENT
  TCP    192.168.1.20:55880     192.168.1.67:80        SYN_SENT
  TCP    192.168.1.20:55881     192.168.1.68:80        SYN_SENT
  TCP    192.168.1.20:55882     192.168.1.69:80        SYN_SENT
  TCP    192.168.1.20:55883     192.168.1.70:80        SYN_SENT
  TCP    192.168.1.20:55884     192.168.1.71:80        SYN_SENT
  TCP    192.168.1.20:55885     192.168.1.72:80        SYN_SENT
  TCP    192.168.1.20:55886     192.168.1.73:80        SYN_SENT
  TCP    192.168.1.20:55887     192.168.1.74:80        SYN_SENT
  TCP    192.168.1.20:55888     192.168.1.75:80        SYN_SENT
  TCP    192.168.1.20:55889     192.168.1.76:80        SYN_SENT
  TCP    192.168.1.20:55890     192.168.1.77:80        SYN_SENT
  TCP    192.168.1.20:55891     192.168.1.78:80        SYN_SENT
  TCP    192.168.1.20:55892     192.168.1.79:80        SYN_SENT
  TCP    192.168.1.20:55893     192.168.1.80:80        SYN_SENT
  TCP    192.168.1.20:55894     192.168.1.81:80        SYN_SENT
  TCP    192.168.1.20:56599     20.197.71.89:443       ESTABLISHED
  TCP    192.168.1.20:56606     117.18.237.29:80       CLOSE_WAIT
  TCP    192.168.1.20:56621     117.18.232.200:443     CLOSE_WAIT
